,Dataset,Selective,Max Depth,Estimators,Training Accuracy,Testing Accuracy
281,Month_48,False,3,200,1.0,0.9666666666666667
282,Month_48,False,4,25,0.971830985915493,0.9666666666666667
283,Month_48,False,4,50,1.0,0.9333333333333333
284,Month_48,False,4,75,1.0,0.9666666666666667
285,Month_48,False,4,100,1.0,0.9666666666666667
286,Month_48,False,4,150,1.0,0.9666666666666667
287,Month_48,False,4,200,1.0,0.9666666666666667
288,Month_48,False,5,25,1.0,0.9666666666666667
289,Month_48,False,5,50,1.0,0.9666666666666667
290,Month_48,False,5,75,1.0,0.9666666666666667
291,Month_48,False,5,100,1.0,0.9666666666666667
292,Month_48,False,5,150,1.0,0.9666666666666667
293,Month_48,False,5,200,1.0,0.9666666666666667
294,Month_48,False,6,25,1.0,0.9666666666666667
295,Month_48,False,6,50,1.0,0.9333333333333333
296,Month_48,False,6,75,1.0,0.9666666666666667
297,Month_48,False,6,100,1.0,0.9666666666666667
298,Month_48,False,6,150,1.0,0.9666666666666667
299,Month_48,False,6,200,1.0,0.9666666666666667
300,Month_48,False,7,25,1.0,0.9666666666666667
301,Month_48,False,7,50,1.0,0.9333333333333333
302,Month_48,False,7,75,1.0,0.9666666666666667
303,Month_48,False,7,100,1.0,0.9666666666666667
304,Month_48,False,7,150,1.0,0.9666666666666667
305,Month_48,False,7,200,1.0,0.9666666666666667
306,Month_48,False,8,25,1.0,0.9666666666666667
307,Month_48,False,8,50,1.0,0.9333333333333333
308,Month_48,False,8,75,1.0,0.9666666666666667
309,Month_48,False,8,100,1.0,0.9666666666666667
310,Month_48,False,8,150,1.0,0.9666666666666667
311,Month_48,False,8,200,1.0,0.9666666666666667
312,Month_48,False,9,25,1.0,0.9666666666666667
313,Month_48,False,9,50,1.0,0.9333333333333333
314,Month_48,False,9,75,1.0,0.9666666666666667
315,Month_48,False,9,100,1.0,0.9666666666666667
316,Month_48,False,9,150,1.0,0.9666666666666667
317,Month_48,False,9,200,1.0,0.9666666666666667
318,Month_48,False,10,25,1.0,0.9666666666666667
319,Month_48,False,10,50,1.0,0.9333333333333333
320,Month_48,False,10,75,1.0,0.9666666666666667
321,Month_48,False,10,100,1.0,0.9666666666666667
322,Month_48,False,10,150,1.0,0.9666666666666667
323,Month_48,False,10,200,1.0,0.9666666666666667
324,Month_6,True,2,25,0.8395303326810176,0.8767123287671232
325,Month_6,True,2,50,0.8493150684931506,0.867579908675799
326,Month_6,True,2,75,0.8473581213307241,0.8721461187214612
327,Month_6,True,2,100,0.8493150684931506,0.8721461187214612
328,Month_6,True,2,150,0.8454011741682974,0.863013698630137
329,Month_6,True,2,200,0.8454011741682974,0.863013698630137
330,Month_6,True,3,25,0.863013698630137,0.8767123287671232
331,Month_6,True,3,50,0.8649706457925636,0.8721461187214612
332,Month_6,True,3,75,0.8669275929549902,0.8767123287671232
333,Month_6,True,3,100,0.8669275929549902,0.8767123287671232
334,Month_6,True,3,150,0.8708414872798435,0.8812785388127854
335,Month_6,True,3,200,0.8688845401174168,0.8812785388127854
336,Month_6,True,4,25,0.8845401174168297,0.867579908675799
337,Month_6,True,4,50,0.8806262230919765,0.867579908675799
338,Month_6,True,4,75,0.8884540117416829,0.863013698630137
339,Month_6,True,4,100,0.8904109589041096,0.8721461187214612
340,Month_6,True,4,150,0.8845401174168297,0.8767123287671232
341,Month_6,True,4,200,0.8845401174168297,0.8767123287671232
342,Month_6,True,5,25,0.9021526418786693,0.867579908675799
343,Month_6,True,5,50,0.9041095890410958,0.863013698630137
344,Month_6,True,5,75,0.9060665362035225,0.867579908675799
345,Month_6,True,5,100,0.9099804305283757,0.8812785388127854
346,Month_6,True,5,150,0.9099804305283757,0.8767123287671232
347,Month_6,True,5,200,0.9080234833659491,0.8767123287671232
348,Month_6,True,6,25,0.9315068493150684,0.863013698630137
349,Month_6,True,6,50,0.9315068493150684,0.8721461187214612
350,Month_6,True,6,75,0.9256360078277887,0.8721461187214612
351,Month_6,True,6,100,0.9334637964774951,0.8767123287671232
352,Month_6,True,6,150,0.9275929549902152,0.867579908675799
353,Month_6,True,6,200,0.9275929549902152,0.8721461187214612
354,Month_6,True,7,25,0.9393346379647749,0.8721461187214612
355,Month_6,True,7,50,0.9452054794520548,0.863013698630137
356,Month_6,True,7,75,0.949119373776908,0.8721461187214612
357,Month_6,True,7,100,0.949119373776908,0.867579908675799
358,Month_6,True,7,150,0.9471624266144814,0.8721461187214612
359,Month_6,True,7,200,0.949119373776908,0.8767123287671232
360,Month_6,True,8,25,0.9549902152641878,0.8538812785388128
361,Month_6,True,8,50,0.9686888454011742,0.8538812785388128
362,Month_6,True,8,75,0.9726027397260274,0.863013698630137
363,Month_6,True,8,100,0.974559686888454,0.8584474885844748
364,Month_6,True,8,150,0.9726027397260274,0.863013698630137
365,Month_6,True,8,200,0.974559686888454,0.8721461187214612
366,Month_6,True,9,25,0.974559686888454,0.867579908675799
367,Month_6,True,9,50,0.9804305283757339,0.8721461187214612
368,Month_6,True,9,75,0.9804305283757339,0.8904109589041096
369,Month_6,True,9,100,0.9823874755381604,0.8721461187214612
370,Month_6,True,9,150,0.9823874755381604,0.8767123287671232
371,Month_6,True,9,200,0.9823874755381604,0.8721461187214612
372,Month_6,True,10,25,0.9843444227005871,0.8584474885844748
373,Month_6,True,10,50,0.9882583170254403,0.8538812785388128
374,Month_6,True,10,75,0.9863013698630136,0.8584474885844748
375,Month_6,True,10,100,0.9902152641878669,0.863013698630137
376,Month_6,True,10,150,0.9902152641878669,0.867579908675799
377,Month_6,True,10,200,0.9921722113502935,0.8812785388127854
378,Month_12,True,2,25,0.8728813559322034,0.8620689655172413
379,Month_12,True,2,50,0.8834745762711864,0.8620689655172413
380,Month_12,True,2,75,0.8898305084745762,0.8620689655172413
381,Month_12,True,2,100,0.8898305084745762,0.8620689655172413
382,Month_12,True,2,150,0.885593220338983,0.8620689655172413
383,Month_12,True,2,200,0.8877118644067796,0.8620689655172413
384,Month_12,True,3,25,0.8983050847457628,0.8571428571428571
385,Month_12,True,3,50,0.9046610169491526,0.8719211822660099
386,Month_12,True,3,75,0.9110169491525424,0.8768472906403941
387,Month_12,True,3,100,0.9067796610169492,0.8768472906403941
388,Month_12,True,3,150,0.9046610169491526,0.8768472906403941
