,Dataset,Selective,Max Depth,Estimators,Training Accuracy,Testing Accuracy
253,Month_36,False,8,50,1.0,0.7758620689655172
254,Month_36,False,8,75,1.0,0.7931034482758621
255,Month_36,False,8,100,1.0,0.8103448275862069
256,Month_36,False,8,150,1.0,0.75
257,Month_36,False,8,200,1.0,0.8103448275862069
258,Month_36,False,9,25,1.0,0.7672413793103449
259,Month_36,False,9,50,1.0,0.7844827586206896
260,Month_36,False,9,75,1.0,0.7758620689655172
261,Month_36,False,9,100,1.0,0.7844827586206896
262,Month_36,False,9,150,1.0,0.7758620689655172
263,Month_36,False,9,200,1.0,0.7931034482758621
264,Month_36,False,10,25,1.0,0.7931034482758621
265,Month_36,False,10,50,1.0,0.7586206896551724
266,Month_36,False,10,75,1.0,0.7672413793103449
267,Month_36,False,10,100,1.0,0.7844827586206896
268,Month_36,False,10,150,1.0,0.75
269,Month_36,False,10,200,1.0,0.8103448275862069
270,Month_48,False,2,25,1.0,0.9
271,Month_48,False,2,50,1.0,0.9333333333333333
272,Month_48,False,2,75,1.0,0.9333333333333333
273,Month_48,False,2,100,1.0,0.9333333333333333
274,Month_48,False,2,150,1.0,0.9
275,Month_48,False,2,200,1.0,0.9
276,Month_48,False,3,25,1.0,0.8666666666666667
277,Month_48,False,3,50,1.0,0.8333333333333334
278,Month_48,False,3,75,1.0,0.9
279,Month_48,False,3,100,1.0,0.9333333333333333
280,Month_48,False,3,150,1.0,0.8666666666666667
281,Month_48,False,3,200,1.0,0.9
282,Month_48,False,4,25,1.0,0.8666666666666667
283,Month_48,False,4,50,1.0,0.8
284,Month_48,False,4,75,1.0,0.9333333333333333
285,Month_48,False,4,100,1.0,0.9333333333333333
286,Month_48,False,4,150,1.0,0.8666666666666667
287,Month_48,False,4,200,1.0,0.9333333333333333
288,Month_48,False,5,25,1.0,0.9
289,Month_48,False,5,50,1.0,0.9666666666666667
290,Month_48,False,5,75,1.0,0.9666666666666667
291,Month_48,False,5,100,1.0,0.9666666666666667
292,Month_48,False,5,150,1.0,0.9
293,Month_48,False,5,200,1.0,0.9666666666666667
294,Month_48,False,6,25,1.0,0.9333333333333333
295,Month_48,False,6,50,1.0,0.9333333333333333
296,Month_48,False,6,75,1.0,0.9
297,Month_48,False,6,100,1.0,0.8333333333333334
298,Month_48,False,6,150,1.0,0.9
299,Month_48,False,6,200,1.0,0.8333333333333334
300,Month_48,False,7,25,1.0,0.9666666666666667
301,Month_48,False,7,50,1.0,0.9
302,Month_48,False,7,75,1.0,0.9333333333333333
303,Month_48,False,7,100,1.0,0.9333333333333333
304,Month_48,False,7,150,1.0,0.8666666666666667
305,Month_48,False,7,200,1.0,0.9
306,Month_48,False,8,25,1.0,0.8666666666666667
307,Month_48,False,8,50,1.0,0.8
308,Month_48,False,8,75,1.0,0.9666666666666667
309,Month_48,False,8,100,1.0,0.9
310,Month_48,False,8,150,1.0,0.9
311,Month_48,False,8,200,1.0,0.9333333333333333
312,Month_48,False,9,25,1.0,0.9333333333333333
313,Month_48,False,9,50,1.0,0.9333333333333333
314,Month_48,False,9,75,1.0,0.9
315,Month_48,False,9,100,1.0,0.9333333333333333
316,Month_48,False,9,150,1.0,0.8333333333333334
317,Month_48,False,9,200,1.0,0.9
318,Month_48,False,10,25,1.0,0.8333333333333334
319,Month_48,False,10,50,1.0,0.9333333333333333
320,Month_48,False,10,75,1.0,0.9333333333333333
321,Month_48,False,10,100,1.0,0.9666666666666667
322,Month_48,False,10,150,1.0,0.8333333333333334
323,Month_48,False,10,200,1.0,0.9333333333333333
